iata,name,city,country,region,lat,lon,size
HMS,Haji Muhammad Sidik Airport,Muara Teweh,ID,ID-KT,-1.02581,114.92881,small
HMV,Hemavan Airport,Hemavan,SE,SE-AC,65.806099,15.0828,small
HNA,Iwate Hanamaki Airport,Hanamaki,JP,JP-03,39.4286,141.134995,medium
HND,Tokyo Haneda International Airport,Tokyo,JP,JP-13,35.549678,139.786958,large
HNH,Hoonah Airport,Hoonah,US,US-AK,58.0961,-135.410111,small
HNL,Daniel K. Inouye International Airport,"Honolulu, Oahu",US,US-HI,21.318387,-157.92567,large
HNM,Hana Airport,Hana,US,US-HI,20.795601,-156.014008,medium
HNS,Haines Airport,Haines,US,US-AK,59.243921,-135.523925,medium
HNY,Hengyang Nanyue Airport,Hengyang,CN,CN-43,26.72208,112.617958,small
HOB,Lea County Regional Airport,Hobbs,US,US-NM,32.6875,-103.217003,medium
HOF,Al-Ahsa International Airport,Hofuf,SA,SA-04,25.285299,49.485199,large
HOG,Frank Pais International Airport,Holguin,CU,CU-11,20.785148,-76.315526,large
HOI,Hao Airport,Otepa,PF,PF-U-A,-18.0748,-140.945999,medium
HOK,Hooker Creek Airport,Lajamanu,AU,AU-NT,-18.3367004395,130.638000488,small
HOM,Homer Airport,Homer,US,US-AK,59.644456,-151.479235,medium
HOR,Horta Airport,Horta,PT,PT-20,38.519901275634766,-28.715900421142578,medium
HOT,Memorial Field Airport,Hot Springs,US,US-AR,34.4788,-93.096262,medium
HOU,William P. Hobby Airport,Houston,US,US-TX,29.645336,-95.276812,large
HOV,"Ørsta-Volda Airport, Hovden",Ørsta,NO,NO-15,62.180000305176,6.0741000175476,medium
HPA,Lifuka Island Airport,Lifuka,TO,TO-02,-19.777000427246094,-174.34100341796875,medium
HPB,Hooper Bay Airport,Hooper Bay,US,US-AK,61.523899,-166.147003,small
HPG,Shennongjia Hongping Airport,Shennongjia (Hongping),CN,CN-42,31.626,110.34,medium
HPH,Cat Bi International Airport,Haiphong (Hai An),VN,VN-RRD,20.817428,106.724315,large
HPN,Westchester County Airport,White Plains,US,US-NY,41.06700134277344,-73.70760345458984,medium
HQL,Tashikuergan Hongqilafu Airport,Tashikuergan,CN,CN-65,37.661333,75.288877,medium
HQQ,Anyang Hongqiqu Airport,Anyang,CN,CN-41,35.870833,114.461944,small
HRB,Harbin Taiping International Airport,Harbin,CN,CN-23,45.623402,126.25,large
HRE,Robert Gabriel Mugabe International Airport,Harare,ZW,ZW-HA,-17.931801,31.0928,large
HRF,Hoarafushi Airport,,MV,MV-07,6.96967,72.896287,small
HRG,Hurghada International Airport,Hurghada,EG,EG-BA,27.176776,33.796692,large
HRH,Aligarh Airport,Aligarh,IN,IN-UP,27.861437,78.145404,small
HRI,Mattala Rajapaksa International Airport,Mattala,LK,LK-3,6.283878,81.124163,medium
HRL,Valley International Airport,Harlingen,US,US-TX,26.228500366210938,-97.65440368652344,medium
HRO,Boone County Airport,Harrison,US,US-AR,36.26150131225586,-93.15470123291016,medium
HSA,Hazrat Sultan International Airport,Turkıstan,KZ,KZ-YUZ,43.311087,68.550352,large
HSC,Shaoguan Danxia Airport,Shaoguan,CN,CN-44,24.9786,113.420998,medium
HSG,Kyushu Saga International Airport,Saga,JP,JP-41,33.1497,130.302002,large
HSL,Huslia Airport,Huslia,US,US-AK,65.697899,-156.350998,medium
HSN,Zhoushan Putuoshan International Airport,Zhoushan,CN,CN-33,29.933874,122.362307,large
HSR,Rajkot International Airport,Rajkot,IN,IN-GJ,22.378824,71.039391,large
HSS,Maharaja Agrasen International Airport,Hisar,IN,IN-HR,29.186065,75.74142,large
HSV,Huntsville International Airport,Huntsville,US,US-AL,34.636244,-86.774378,medium
HTA,Chita-Kadala International Airport,Chita,RU,RU-ZAB,52.024841,113.305839,large
HTG,Khatanga Airport,Khatanga,RU,RU-KYA,71.97810363769531,102.49099731445312,medium
HTI,Hamilton Island Airport,Hamilton Island,AU,AU-QLD,-20.3581008911,148.95199585,medium
HTN,Hotan Airport,Hotan,CN,CN-65,37.03850173950195,79.86489868164062,medium
HTS,Tri-State Airport / Milton J. Ferguson Field,Huntington,US,US-WV,38.366699,-82.557999,medium
HTT,Huatugou Airport,Mengnai,CN,CN-63,38.201645,90.837843,medium
HTY,Hatay Airport,Antakya,TR,TR-31,36.36079,36.285589,medium
HUE,Humera Airport,Akwi,ET,ET-TI,13.83012,36.88237,small
HUG,Huehuetenango Airport,Huehuetenango,GT,GT-HU,15.316667,-91.505556,small
HUH,Huahine-Fare Airport,Fare,PF,PF-U-A,-16.687084,-151.021593,medium
HUI,Phu Bai International Airport,Huế,VN,VN-NC,16.400628,107.703094,medium
HUN,Hualien Chiashan Airport,Hualien City,TW,TW-HUA,24.023163,121.617991,large
HUO,Holingol Huolinhe Airport,Holingol,CN,CN-15,45.487222,119.407222,medium
